"Revised  NEET-UG  Counselling Seats Allotment -2025 Round 3","","","","","","","","","","","","","","","",""
"Round 1","","","","","Round 2","","","","","Round 3","","","","","",""
"Rank","Allotted Quota","Allotted Institute","Course","Remarks","Allotted Quota","Allotted Institute","Course","Remarks","Allotted Quota","","Allotted Institute","Course","Alloted Category","candidate Category","option No.","Remarks"
"13","Open Seat Quota","AIIMS, New Delhi","MBBS","Reported","-","-","-","-","-","","-","-","-","-","-","Did not opt for Upgradation."
"14","Open Seat Quota","AIIMS, New Delhi","MBBS","Reported","-","-","-","-","-","","-","-","-","-","-","Did not opt for Upgradation."
"15","Open Seat Quota","AIIMS, New Delhi","MBBS","Reported","-","-","-","-","-","","-","-","-","-","-","Did not opt for Upgradation."
"16","Open Seat Quota","AIIMS, New Delhi","MBBS","Reported","-","-","-","-","-","","-","-","-","-","-","Did not opt for Upgradation."
"17","Open Seat Quota","AIIMS, New Delhi","MBBS","Reported","-","-","-","-","-","","-","-","-","-","-","Did not opt for Upgradation."
"18","Open Seat Quota","AIIMS, New Delhi","MBBS","Reported","-","-","-","-","-","","-","-","-","-","-","Did not opt for Upgradation."
"19","Open Seat Quota","AIIMS, New Delhi","MBBS","Reported","-","-","-","-","-","","-","-","-","-","-","Did not opt for Upgradation."
"20","Open Seat Quota","AIIMS, New Delhi","MBBS","Reported","-","-","-","-","-","","-","-","-","-","-","Did not opt for Upgradation."
"21","Open Seat Quota","AIIMS, New Delhi","MBBS","Reported","-","-","-","-","-","","-","-","-","-","-","Did not opt for Upgradation."
"22","Open Seat Quota","AIIMS, New Delhi","MBBS","Reported","-","-","-","-","-","","-","-","-","-","-","Did not opt for Upgradation."
"23","Open Seat Quota","AIIMS, New Delhi","MBBS","Reported","-","-","-","-","-","","-","-","-","-","-","Did not fill up fresh choices."
"24","Open Seat Quota","AIIMS, New Delhi","MBBS","Reported","-","-","-","-","-","","-","-","-","-","-","Did not fill up fresh choices."
"25","Open Seat Quota","AIIMS, New Delhi","MBBS","Reported","-","-","-","-","-","","-","-","-","-","-","Did not opt for Upgradation."
"26","Open Seat Quota","AIIMS, New Delhi","MBBS","Reported","-","-","-","-","-","","-","-","-","-","-","Did not opt for Upgradation."
"27","Open Seat Quota","AIIMS, New Delhi","MBBS","Reported","-","-","-","-","-","","-","-","-","-","-","Did not fill up fresh choices."
"28","Open Seat Quota","AIIMS, New Delhi","MBBS","Reported","-","-","-","-","-","","-","-","-","-","-","Did not opt for Upgradation."
"29","Open Seat Quota","AIIMS, New Delhi","MBBS","Reported","-","-","-","-","-","","-","-","-","-","-","Did not opt for Upgradation."
"30","Open Seat Quota","AIIMS, New Delhi","MBBS","Reported","-","-","-","-","-","","-","-","-","-","-","Did not opt for Upgradation."
"31","Open Seat Quota","AIIMS, New Delhi","MBBS","Reported","-","-","-","-","-","","-","-","-","-","-","Did not opt for Upgradation."
"32","Open Seat Quota","AIIMS, New Delhi","MBBS","Reported","-","-","-","-","-","","-","-","-","-","-","Did not opt for Upgradation."
"33","Open Seat Quota","AIIMS, New Delhi","MBBS","Reported","-","-","-","-","-","","-","-","-","-","-","Did not opt for Upgradation."
"34","Open Seat Quota","AIIMS, New Delhi","MBBS","Reported","-","-","-","-","-","","-","-","-","-","-","Did not opt for Upgradation."
"35","Open Seat Quota","AIIMS, New Delhi","MBBS","Reported","-","-","-","-","-","","-","-","-","-","-","Did not opt for Upgradation."
"36","Open Seat Quota","AIIMS, New Delhi","MBBS","Reported","-","-","-","-","-","","-","-","-","-","-","Did not opt for Upgradation."
"37","Open Seat Quota","AIIMS, New Delhi","MBBS","Reported","-","-","-","-","-","","-","-","-","-","-","Did not opt for Upgradation."
"38","Open Seat Quota","AIIMS, New Delhi","MBBS","Reported","-","-","-","-","-","","-","-","-","-","-","Did not opt for Upgradation."
"39","Open Seat Quota","AIIMS, New Delhi","MBBS","Reported","-","-","-","-","-","","-","-","-","-","-","Did not opt for Upgradation."
"40","Open Seat Quota","AIIMS, New Delhi","MBBS","Reported","-","-","-","-","-","","-","-","-","-","-","Did not opt for Upgradation."
"41","Open Seat Quota","AIIMS, New Delhi","MBBS","Reported","-","-","-","-","-","","-","-","-","-","-","Did not opt for Upgradation."
"42","Open Seat Quota","AIIMS, New Delhi","MBBS","Reported","-","-","-","-","-","","-","-","-","-","-","Did not opt for Upgradation."
"43","Open Seat Quota","AIIMS, New Delhi","MBBS","Reported","-","-","-","-","-","","-","-","-","-","-","Did not opt for Upgradation."
"44","Open Seat Quota","AIIMS, New Delhi","MBBS","Reported","-","-","-","-","-","","-","-","-","-","-","Did not opt for Upgradation."
"45","Open Seat Quota","AIIMS, New Delhi","MBBS","Reported","-","-","-","-","-","","-","-","-","-","-","Did not opt for Upgradation."
"46","Open Seat Quota","AIIMS, New Delhi","MBBS","Reported","-","-","-","-","-","","-","-","-","-","-","Did not opt for Upgradation."
"47","Open Seat Quota","AIIMS, New Delhi","MBBS","Reported","-","-","-","-","-","","-","-","-","-","-","Did not opt for Upgradation."
"48","Open Seat Quota","AIIMS, New Delhi","MBBS","Reported","-","-","-","-","-","","-","-","-","-","-","Did not opt for Upgradation."
"49","All India","Vardhman Mahavir Medical College and Safdarjung Hospital New Delhi, VMMC","MBBS","Reported","-","-","-","-","-","","-","-","-","-","-","No Upgradation"
"50","Open Seat Quota","JIPMER PUDUCHERRY","MBBS","Reported","-","-","-","-","-","","-","-","-","-","-","Did not fill up fresh choices."
"51","All India","Vardhman Mahavir Medical College and Safdarjung Hospital New Delhi, VMMC","MBBS","Reported","-","-","-","-","-","","-","-","-","-","-","Did not fill up fresh choices."
"52","Open Seat Quota","AIIMS, New Delhi","MBBS","Reported","-","-","-","-","-","","-","-","-","-","-","Did not opt for Upgradation."
"53","Open Seat Quota","AIIMS, New Delhi","MBBS","Reported","-","-","-","-","-","","-","-","-","-","-","Did not opt for Upgradation."
"54","All India","Maulana Azad Medical College, New Delhi","MBBS","Reported","-","-","-","-","-","","-","-","-","-","-","Did not fill up fresh choices."
"55","Open Seat Quota","AIIMS, Jodhpur","MBBS","Reported","-","-","-","-","-","","-","-","-","-","-","Did not fill up fresh choices."
"56","Open Seat Quota","JIPMER PUDUCHERRY","MBBS","Reported","-","-","-","-","-","","-","-","-","-","-","No Upgradation"
"57","All India","Maulana Azad Medical College, New Delhi","MBBS","Reported","-","-","-","-","-","","-","-","-","-","-","Did not opt for Upgradation."
"58","All India","Vardhman Mahavir Medical College and Safdarjung Hospital New Delhi, VMMC","MBBS","Reported","-","-","-","-","-","","-","-","-","-","-","No Upgradation"
"59","Open Seat Quota","JIPMER PUDUCHERRY","MBBS","Reported","-","-","-","-","-","","-","-","-","-","-","Did not fill up fresh choices."
"60","Open Seat Quota","AIIMS, Bhubaneswar","MBBS","Reported","-","-","-","-","-","","-","-","-","-","-","Did not opt for Upgradation."
"61","Open Seat Quota","AIIMS, New Delhi","MBBS","Not Reported","-","-","-","-","-","","-","-","-","-","-","Did not fill up fresh choices."
"62","Open Seat Quota","AIIMS, New Delhi","MBBS","Reported","-","-","-","-","-","","-","-","-","-","-","Did not opt for Upgradation."
"63","Open Seat Quota","JIPMER PUDUCHERRY","MBBS","Reported","-","-","-","-","-","","-","-","-","-","-","Did not opt for Upgradation."
"64","Open Seat Quota","AIIMS, New Delhi","MBBS","Reported","-","-","-","-","-","","-","-","-","-","-","Did not opt for Upgradation."
"65","Open Seat Quota","AIIMS, New Delhi","MBBS","Reported","-","-","-","-","-","","-","-","-","-","-","Did not opt for Upgradation."
"66","All India","Vardhman Mahavir Medical College and Safdarjung Hospital New Delhi, VMMC","MBBS","Reported","-","-","-","-","-","","-","-","-","-","-","Did not fill up fresh choices."
"67","Open Seat Quota","AIIMS, New Delhi","MBBS","Reported","-","-","-","-","-","","-","-","-","-","-","Did not opt for Upgradation."
"68","All India","Maulana Azad Medical College, New Delhi","MBBS","Reported","-","-","-","-","-","","-","-","-","-","-","Did not fill up fresh choices."
"69","All India","Maulana Azad Medical College, New Delhi","MBBS","Reported","-","-","-","-","-","","-","-","-","-","-","No Upgradation"
"70","Open Seat Quota","AIIMS, New Delhi","MBBS","Reported","-","-","-","-","-","","-","-","-","-","-","Did not opt for Upgradation."
"71","All India","GOVERNMENT MEDICAL COLLEGE, SURAT","MBBS","Reported","-","-","-","-","-","","-","-","-","-","-","Did not opt for Upgradation."
"72","Open Seat Quota","JIPMER PUDUCHERRY","MBBS","Reported","-","-","-","-","-","","-","-","-","-","-","Did not opt for Upgradation."
"73","Open Seat Quota","AIIMS, New Delhi","MBBS","Reported","-","-","-","-","-","","-","-","-","-","-","Did not opt for Upgradation."
"74","All India","Maulana Azad Medical College, New Delhi","MBBS","Reported","-","-","-","-","-","","-","-","-","-","-","Did not fill up fresh choices."
"75","All India","Maulana Azad Medical College, New Delhi","MBBS","Reported","-","-","-","-","-","","-","-","-","-","-","Did not opt for Upgradation."
"76","Delhi University Quota","Maulana Azad Medical College, New Delhi","MBBS","Reported","-","-","-","-","-","","-","-","-","-","-","No Upgradation"
"77","All India","Maulana Azad Medical College, New Delhi","MBBS","Reported","-","-","-","-","-","","-","-","-","-","-","Did not fill up fresh choices."
"78","Open Seat Quota","JIPMER PUDUCHERRY","MBBS","Reported","-","-","-","-","-","","-","-","-","-","-","Did not opt for Upgradation."
"79","Open Seat Quota","AIIMS, New Delhi","MBBS","Reported","-","-","-","-","-","","-","-","-","-","-","Did not opt for Upgradation."
"80","Open Seat Quota","JIPMER PUDUCHERRY","MBBS","Reported","-","-","-","-","-","","-","-","-","-","-","Did not fill up fresh choices."
"81","All India","Vardhman Mahavir Medical College and Safdarjung Hospital New Delhi, VMMC","MBBS","Reported","-","-","-","-","-","","-","-","-","-","-","Did not fill up fresh choices."
"82","Open Seat Quota","AIIMS, New Delhi","MBBS","Reported","-","-","-","-","-","","-","-","-","-","-","Did not opt for Upgradation."
"83","All India","Maulana Azad Medical College, New Delhi","MBBS","Reported","-","-","-","-","-","","-","-","-","-","-","Did not opt for Upgradation."
"84","Open Seat Quota","JIPMER PUDUCHERRY","MBBS","Reported","-","-","-","-","-","","-","-","-","-","-","Did not opt for Upgradation."
"85","All India","Vardhman Mahavir Medical College and Safdarjung Hospital New Delhi, VMMC","MBBS","Reported","-","-","-","-","-","","-","-","-","-","-","Did not fill up fresh choices."
"86","Open Seat Quota","AIIMS, New Delhi","MBBS","Reported","-","-","-","-","-","","-","-","-","-","-","Did not opt for Upgradation."
"87","Open Seat Quota","AIIMS, Jodhpur","MBBS","Reported","-","-","-","-","-","","-","-","-","-","-","Did not opt for Upgradation."
"88","Open Seat Quota","AIIMS, New Delhi","MBBS","Reported","-","-","-","-","-","","-","-","-","-","-","Did not opt for Upgradation."
"89","All India","Maulana Azad Medical College, New Delhi","MBBS","Reported","-","-","-","-","-","","-","-","-","-","-","Did not opt for Upgradation."
"90","All India","Maulana Azad Medical College, New Delhi","MBBS","Reported","-","-","-","-","-","","-","-","-","-","-","Did not fill up fresh choices."
"91","Open Seat Quota","AIIMS, New Delhi","MBBS","Reported","-","-","-","-","-","","-","-","-","-","-","Did not opt for Upgradation."
"92","Open Seat Quota","AIIMS, New Delhi","MBBS","Reported","-","-","-","-","-","","-","-","-","-","-","Did not opt for Upgradation."
"93","Open Seat Quota","AIIMS Rajkot","MBBS","Reported","-","-","-","-","-","","-","-","-","-","-","Did not opt for Upgradation."
"94","Open Seat Quota","AIIMS, New Delhi","MBBS","Reported","-","-","-","-","-","","-","-","-","-","-","Did not opt for Upgradation."
"95","All India","Vardhman Mahavir Medical College and Safdarjung Hospital New Delhi, VMMC","MBBS","Reported","-","-","-","-","-","","-","-","-","-","-","Did not opt for Upgradation."
"96","All India","SETH G.S. MEDICAL COLLEGE, MUMBAI","MBBS","Reported","-","-","-","-","-","","-","-","-","-","-","No Upgradation"
"97","All India","Maulana Azad Medical College, New Delhi","MBBS","Reported","-","-","-","-","-","","-","-","-","-","-","Did not fill up fresh choices."
"98","All India","GOVERNMENT MEDICAL COLLEGE AND HOSPITAL, CHANDIGAR","MBBS","Reported","-","-","-","-","-","","-","-","-","-","-","Did not opt for Upgradation."
"99","All India","Maulana Azad Medical College, New Delhi","MBBS","Reported","-","-","-","-","-","","-","-","-","-","-","Did not opt for Upgradation."
"100","All India","Maulana Azad Medical College, New Delhi","MBBS","Reported","-","-","-","-","-","","-","-","-","-","-","No Upgradation"
"101","Open Seat Quota","AIIMS, New Delhi","MBBS","Reported","-","-","-","-","-","","-","-","-","-","-","Did not opt for Upgradation."
"102","Open Seat Quota","AIIMS, Jodhpur","MBBS","Reported","-","-","-","-","-","","-","-","-","-","-","Did not opt for Upgradation."
"103","All India","Maulana Azad Medical College, New Delhi","MBBS","Reported","-","-","-","-","-","","-","-","-","-","-","Did not fill up fresh choices."
"104","Open Seat Quota","AIIMS, New Delhi","MBBS","Reported","-","-","-","-","-","","-","-","-","-","-","Did not opt for Upgradation."
"105","All India","Vardhman Mahavir Medical College and Safdarjung Hospital New Delhi, VMMC","MBBS","Reported","-","-","-","-","-","","-","-","-","-","-","Did not fill up fresh choices."
"106","Open Seat Quota","AIIMS, Bhubaneswar","MBBS","Reported","-","-","-","-","-","","-","-","-","-","-","Did not opt for Upgradation."
"107","Delhi University Quota","Maulana Azad Medical College, New Delhi","MBBS","Reported","-","-","-","-","-","","-","-","-","-","-","Did not fill up fresh choices."
"108","Open Seat Quota","JIPMER PUDUCHERRY","MBBS","Reported","-","-","-","-","-","","-","-","-","-","-","Did not opt for Upgradation."
"109","Open Seat Quota","JIPMER PUDUCHERRY","MBBS","Reported","-","-","-","-","-","","-","-","-","-","-","Did not opt for Upgradation."
"110","Open Seat Quota","AIIMS, New Delhi","MBBS","Reported","-","-","-","-","-","","-","-","-","-","-","Did not opt for Upgradation."
"111","All India","Vardhman Mahavir Medical College and Safdarjung Hospital New Delhi, VMMC","MBBS","Reported","-","-","-","-","-","","-","-","-","-","-","Did not opt for Upgradation."
"112","Open Seat Quota","AIIMS, New Delhi","MBBS","Reported","-","-","-","-","-","","-","-","-","-","-","Did not opt for Upgradation."
"113","All India","SETH G.S. MEDICAL COLLEGE, MUMBAI","MBBS","Reported","-","-","-","-","-","","-","-","-","-","-","Did not opt for Upgradation."
"114","Open Seat Quota","JIPMER PUDUCHERRY","MBBS","Reported","-","-","-","-","-","","-","-","-","-","-","Did not opt for Upgradation."
"115","Delhi University Quota","Maulana Azad Medical College, New Delhi","MBBS","Reported","-","-","-","-","-","","-","-","-","-","-","Did not opt for Upgradation."
"116","Open Seat Quota","AIIMS, New Delhi","MBBS","Reported","-","-","-","-","-","","-","-","-","-","-","Did not opt for Upgradation."
"117","Open Seat Quota","AIIMS, New Delhi","MBBS","Reported","-","-","-","-","-","","-","-","-","-","-","Did not opt for Upgradation."
"118","Open Seat Quota","AIIMS, Jodhpur","MBBS","Reported","-","-","-","-","-","","-","-","-","-","-","Did not opt for Upgradation."
"119","All India","SETH G.S. MEDICAL COLLEGE, MUMBAI","MBBS","Reported","-","-","-","-","-","","-","-","-","-","-","Did not opt for Upgradation."
"120","Open Seat Quota","JIPMER PUDUCHERRY","MBBS","Reported","-","-","-","-","-","","-","-","-","-","-","Did not opt for Upgradation."
"121","Open Seat Quota","JIPMER PUDUCHERRY","MBBS","Reported","-","-","-","-","-","","-","-","-","-","-","Did not opt for Upgradation."
"122","Open Seat Quota","AIIMS, New Delhi","MBBS","Reported","-","-","-","-","-","","-","-","-","-","-","Did not opt for Upgradation."
"123","Open Seat Quota","JIPMER PUDUCHERRY","MBBS","Reported","-","-","-","-","-","","-","-","-","-","-","Did not opt for Upgradation."
"124","Delhi University Quota","Maulana Azad Medical College, New Delhi","MBBS","Reported","-","-","-","-","-","","-","-","-","-","-","Did not fill up fresh choices."
"125","Delhi University Quota","Maulana Azad Medical College, New Delhi","MBBS","Reported","-","-","-","-","-","","-","-","-","-","-","Did not opt for Upgradation."
"126","Open Seat Quota","AIIMS, Jodhpur","MBBS","Reported","-","-","-","-","-","","-","-","-","-","-","Did not opt for Upgradation."
"127","Open Seat Quota","JIPMER PUDUCHERRY","MBBS","Reported","-","-","-","-","-","","-","-","-","-","-","Did not opt for Upgradation."
"128","Open Seat Quota","AIIMS, Bhubaneswar","MBBS","Reported","-","-","-","-","-","","-","-","-","-","-","Did not opt for Upgradation."
"129","Open Seat Quota","JIPMER PUDUCHERRY","MBBS","Reported","-","-","-","-","-","","-","-","-","-","-","Did not opt for Upgradation."
"130","Open Seat Quota","AIIMS, New Delhi","MBBS","Reported","-","-","-","-","-","","-","-","-","-","-","Did not opt for Upgradation."
"131","Open Seat Quota","AIIMS, New Delhi","MBBS","Reported","-","-","-","-","-","","-","-","-","-","-","Did not opt for Upgradation."
"132","All India","Vardhman Mahavir Medical College and Safdarjung Hospital New Delhi, VMMC","MBBS","Reported","-","-","-","-","-","","-","-","-","-","-","No Upgradation"
"133","Open Seat Quota","JIPMER PUDUCHERRY","MBBS","Reported","-","-","-","-","-","","-","-","-","-","-","Did not opt for Upgradation."
"134","Open Seat Quota","AIIMS, New Delhi","MBBS","Reported","-","-","-","-","-","","-","-","-","-","-","Did not opt for Upgradation."
"135","Open Seat Quota","JIPMER PUDUCHERRY","MBBS","Reported","-","-","-","-","-","","-","-","-","-","-","Did not opt for Upgradation."
"136","Open Seat Quota","AIIMS, Nagpur","MBBS","Reported","-","-","-","-","-","","-","-","-","-","-","Did not opt for Upgradation."
"137","IP
University Quota","Vardhman Mahavir Medical College and Safdarjung Hospital New Delhi, VMMC","MBBS","Reported","-","-","-","-","-","","-","-","-","-","-","No Upgradation"
"138","Open Seat Quota","AIIMS, New Delhi","MBBS","Reported","-","-","-","-","-","","-","-","-","-","-","Did not opt for Upgradation."
"139","Open Seat Quota","AIIMS, New Delhi","MBBS","Reported","-","-","-","-","-","","-","-","-","-","-","Did not opt for Upgradation."
"140","Open Seat Quota","AIIMS, New Delhi","MBBS","Reported","-","-","-","-","-","","-","-","-","-","-","Did not opt for Upgradation."
"141","Open Seat Quota","AIIMS, Jodhpur","MBBS","Reported","-","-","-","-","-","","-","-","-","-","-","Did not opt for Upgradation."
"142","Open Seat Quota","JIPMER PUDUCHERRY","MBBS","Reported","-","-","-","-","-","","-","-","-","-","-","Did not fill up fresh choices."
"143","Open Seat Quota","JIPMER PUDUCHERRY","MBBS","Reported","-","-","-","-","-","","-","-","-","-","-","Did not opt for Upgradation."
"144","Open Seat Quota","JIPMER PUDUCHERRY","MBBS","Reported","-","-","-","-","-","","-","-","-","-","-","Did not opt for Upgradation."
"145","All India","Atal Bihari Vajpayee Institute of Medical Sciences & DR RML HOSPITAL, NEW DELHI","MBBS","Reported","-","-","-","-","-","","-","-","-","-","-","Did not fill up fresh choices."
"146","All India","Atal Bihari Vajpayee Institute of Medical Sciences & DR RML HOSPITAL, NEW DELHI","MBBS","Reported","-","-","-","-","-","","-","-","-","-","-","Did not fill up fresh choices."
"147","Open Seat Quota","AIIMS, New Delhi","MBBS","Reported","-","-","-","-","-","","-","-","-","-","-","Did not opt for Upgradation."
"148","Open Seat Quota","AIIMS-Bhopal,","MBBS","Reported","IP
University Quota","Atal Bihari Vajpayee Institute of Medical Sciences & DR RML HOSPITAL, NEW DELHI","MBBS","Reported","-","","-","-","-","-","-","No Upgradation"
"149","Delhi University Quota","Maulana Azad Medical College, New Delhi","MBBS","Reported","-","-","-","-","-","","-","-","-","-","-","Did not opt for Upgradation."
"150","Open Seat Quota","AIIMS, New Delhi","MBBS","Reported","-","-","-","-","-","","-","-","-","-","-","Did not opt for Upgradation."
"151","All India","Atal Bihari Vajpayee Institute of Medical Sciences & DR RML HOSPITAL, NEW DELHI","MBBS","Reported","-","-","-","-","-","","-","-","-","-","-","Did not fill up fresh choices."
"152","All India","SETH G.S. MEDICAL COLLEGE, MUMBAI","MBBS","Reported","-","-","-","-","-","","-","-","-","-","-","Did not opt for Upgradation."
"153","Open Seat Quota","JIPMER PUDUCHERRY","MBBS","Reported","-","-","-","-","-","","-","-","-","-","-","Did not opt for Upgradation."
"154","Open Seat Quota","AIIMS, Jodhpur","MBBS","Reported","-","-","-","-","-","","-","-","-","-","-","Did not opt for Upgradation."
"155","All India","GOVERNMENT MEDICAL COLLEGE AND HOSPITAL, CHANDIGAR","MBBS","Reported","-","-","-","-","-","","-","-","-","-","-","Did not opt for Upgradation."
"156","Open Seat Quota","AIIMS, New Delhi","MBBS","Reported","-","-","-","-","-","","-","-","-","-","-","Did not opt for Upgradation."
"157","Open Seat Quota","AIIMS, New Delhi","MBBS","Reported","-","-","-","-","-","","-","-","-","-","-","Did not opt for Upgradation."
"158","Open Seat Quota","AIIMS, New Delhi","MBBS","Reported","-","-","-","-","-","","-","-","-","-","-","Did not opt for Upgradation."
"159","Open Seat Quota","JIPMER PUDUCHERRY","MBBS","Reported","-","-","-","-","-","","-","-","-","-","-","Did not opt for Upgradation."
"160","Open Seat Quota","JIPMER PUDUCHERRY","MBBS","Reported","-","-","-","-","-","","-","-","-","-","-","Did not opt for Upgradation."
"161","Open Seat Quota","AIIMS, New Delhi","MBBS","Reported","-","-","-","-","-","","-","-","-","-","-","Did not opt for Upgradation."
"162","Open Seat Quota","AIIMS-Bhopal,","MBBS","Reported","-","-","-","-","-","","-","-","-","-","-","Did not opt for Upgradation."
"163","All India","Atal Bihari Vajpayee Institute of Medical Sciences & DR RML HOSPITAL, NEW DELHI","MBBS","Reported","-","-","-","-","-","","-","-","-","-","-","Did not fill up fresh choices."
"164","Open Seat Quota","AIIMS-Bhopal,","MBBS","Reported","-","-","-","-","-","","-","-","-","-","-","Did not opt for Upgradation."
"165","Open Seat Quota","AIIMS, New Delhi","MBBS","Reported","-","-","-","-","-","","-","-","-","-","-","Did not opt for Upgradation."
"166","Open Seat Quota","JIPMER PUDUCHERRY","MBBS","Reported","-","-","-","-","-","","-","-","-","-","-","Did not opt for Upgradation."
"167","IP
University Quota","Vardhman Mahavir Medical College and Safdarjung Hospital New Delhi, VMMC","MBBS","Reported","-","-","-","-","-","","-","-","-","-","-","Did not opt for Upgradation."
"168","Open Seat Quota","AIIMS, New Delhi","MBBS","Reported","-","-","-","-","-","","-","-","-","-","-","Did not opt for Upgradation."
"169","All India","GOVERNMENT MEDICAL COLLEGE AND HOSPITAL, CHANDIGAR","MBBS","Reported","-","-","-","-","-","","-","-","-","-","-","Did not opt for Upgradation."
"170","IP
University Quota","Vardhman Mahavir Medical College and Safdarjung Hospital New Delhi, VMMC","MBBS","Reported","-","-","-","-","-","","-","-","-","-","-","Did not opt for Upgradation."
"171","Open Seat Quota","JIPMER PUDUCHERRY","MBBS","Reported","-","-","-","-","-","","-","-","-","-","-","Did not opt for Upgradation."
"172","Open Seat Quota","JIPMER PUDUCHERRY","MBBS","Reported","-","-","-","-","-","","-","-","-","-","-","Did not opt for Upgradation."
"173","Open Seat Quota","AIIMS, Jodhpur","MBBS","Reported","-","-","-","-","-","","-","-","-","-","-","Did not opt for Upgradation."
"174","Open Seat Quota","AIIMS, New Delhi","MBBS","Reported","-","-","-","-","-","","-","-","-","-","-","Did not opt for Upgradation."
"175","Open Seat Quota","AIIMS, New Delhi","MBBS","Reported","-","-","-","-","-","","-","-","-","-","-","Did not opt for Upgradation."
"176","Open Seat Quota","JIPMER PUDUCHERRY","MBBS","Reported","-","-","-","-","-","","-","-","-","-","-","Did not opt for Upgradation."
"177","Open Seat Quota","AIIMS, New Delhi","MBBS","Reported","-","-","-","-","-","","-","-","-","-","-","Did not opt for Upgradation."
"178","Open Seat Quota","AIIMS, New Delhi","MBBS","Reported","-","-","-","-","-","","-","-","-","-","-","Did not opt for Upgradation."
"179","Open Seat Quota","AIIMS, New Delhi","MBBS","Reported","-","-","-","-","-","","-","-","-","-","-","Did not opt for Upgradation."
"180","Open Seat Quota","AIIMS, New Delhi","MBBS","Reported","-","-","-","-","-","","-","-","-","-","-","Did not opt for Upgradation."
"181","Open Seat Quota","JIPMER PUDUCHERRY","MBBS","Reported","-","-","-","-","-","","-","-","-","-","-","Did not opt for Upgradation."
"182","Open Seat Quota","AIIMS, Jodhpur","MBBS","Reported","-","-","-","-","-","","-","-","-","-","-","Did not opt for Upgradation."
"183","IP
University Quota","Vardhman Mahavir Medical College and Safdarjung Hospital New Delhi, VMMC","MBBS","Reported","-","-","-","-","-","","-","-","-","-","-","Did not opt for Upgradation."
"184","Open Seat Quota","JIPMER PUDUCHERRY","MBBS","Reported","-","-","-","-","-","","-","-","-","-","-","Did not opt for Upgradation."
"185","Open Seat Quota","JIPMER PUDUCHERRY","MBBS","Reported","-","-","-","-","-","","-","-","-","-","-","Did not opt for Upgradation."
"186","Open Seat Quota","JIPMER PUDUCHERRY","MBBS","Reported","-","-","-","-","-","","-","-","-","-","-","Did not opt for Upgradation."
"187","Delhi University Quota","Maulana Azad Medical College, New Delhi","MBBS","Reported","-","-","-","-","-","","-","-","-","-","-","Did not opt for Upgradation."
"188","All India","KGMC, LUCKNOW","MBBS","Reported","-","-","-","-","-","","-","-","-","-","-","Did not fill up fresh choices."
"189","Open Seat Quota","AIIMS, Jodhpur","MBBS","Reported","-","-","-","-","-","","-","-","-","-","-","Did not opt for Upgradation."
"190","Open Seat Quota","AIIMS, Jodhpur","MBBS","Reported","-","-","-","-","-","","-","-","-","-","-","Did not opt for Upgradation."
"191","Open Seat Quota","JIPMER PUDUCHERRY","MBBS","Reported","-","-","-","-","-","","-","-","-","-","-","Did not opt for Upgradation."
"192","Open Seat Quota","JIPMER PUDUCHERRY","MBBS","Reported","-","-","-","-","-","","-","-","-","-","-","Did not opt for Upgradation."
"193","Open Seat Quota","JIPMER PUDUCHERRY","MBBS","Reported","-","-","-","-","-","","-","-","-","-","-","Did not fill up fresh choices."
